#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000062	hsa-let-7a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000063	hsa-let-7b-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0000064	hsa-let-7c-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000065	hsa-let-7d-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000066	hsa-let-7e-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000067	hsa-let-7f-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000076	hsa-miR-21-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442938	6442943	6442938	6442943	+	15	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	0
MIMAT0000077	hsa-miR-22-3p	ENSG00000136238	RAC1	protein_coding	chr7	6442636	6442641	6442636	6442641	+	12	0	AGO1-4,AGO2	1	0	1	0	0	0	0	6
MIMAT0000077	hsa-miR-22-3p	ENSG00000136238	RAC1	protein_coding	chr7	6443216	6443221	6443201	6443222	+	11	0	AGO1-4,AGO2	1	0	1	0	1	0	0	6
MIMAT0000081	hsa-miR-25-3p	ENSG00000136238	RAC1	protein_coding	chr7	6443547	6443552	6443547	6443552	+	17	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000082	hsa-miR-26a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443305	6443310	6443305	6443310	+	25	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000083	hsa-miR-26b-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443305	6443310	6443305	6443310	+	25	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000084	hsa-miR-27a-3p	ENSG00000136238	RAC1	protein_coding	chr7	6443390	6443395	6443390	6443395	+	24	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000089	hsa-miR-31-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443281	6443287	6443268	6443288	+	23	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	0
MIMAT0000090	hsa-miR-32-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443547	6443552	6443547	6443552	+	17	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000091	hsa-miR-33a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442888	6442893	6442888	6442893	+	6	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000091	hsa-miR-33a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443101	6443106	6443099	6443106	+	14	0	AGO1,AGO1-4,AGO2,AGO3	1	0	1	0	0	0	0	5
MIMAT0000091	hsa-miR-33a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443545	6443550	6443528	6443551	+	15	0	AGO1-4,AGO2	1	0	1	0	1	0	0	5
MIMAT0000092	hsa-miR-92a-3p	ENSG00000136238	RAC1	protein_coding	chr7	6443547	6443552	6443547	6443552	+	17	0	AGO1-4,AGO2	1	0	0	0	0	0	0	7
MIMAT0000095	hsa-miR-96-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442193	6442198	6442171	6442199	+	12	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	2
MIMAT0000095	hsa-miR-96-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442386	6442391	6442364	6442392	+	7	0	AGO1-4,AGO2	1	0	0	1	0	1	1	2
MIMAT0000096	hsa-miR-98-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443328	6443333	6443328	6443333	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000097	hsa-miR-99a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442854	6442859	6442839	6442860	+	20	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	5
MIMAT0000098	hsa-miR-100-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442854	6442859	6442839	6442860	+	20	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	9
MIMAT0000099	hsa-miR-101-3p	ENSG00000136238	RAC1	protein_coding	chr7	6442614	6442620	6442593	6442621	+	36	1	AGO1,AGO1-4,AGO2,AGO3	1	0	0	1	1	0	1	13
MIMAT0000231	hsa-miR-199a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443444	6443449	6443444	6443449	+	26	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	3
MIMAT0000242	hsa-miR-129-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442133	6442138	6442129	6442149	+	10	0	AGO1-4,AGO2	1	0	1	0	1	0	0	7
MIMAT0000242	hsa-miR-129-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442143	6442148	6442142	6442162	+	9	0	AGO1-4,AGO2	1	0	1	0	1	0	0	7
MIMAT0000242	hsa-miR-129-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442156	6442161	6442156	6442161	+	7	0	AGO1-4	1	0	1	0	0	0	0	7
MIMAT0000243	hsa-miR-148a-3p	ENSG00000136238	RAC1	protein_coding	chr7	6442436	6442441	6442436	6442441	+	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000250	hsa-miR-139-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443355	6443360	6443355	6443360	+	22	0	AGO1-4,AGO2	1	0	0	0	0	0	0	13
MIMAT0000259	hsa-miR-182-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442193	6442198	6442193	6442198	+	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000259	hsa-miR-182-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442386	6442391	6442364	6442392	+	7	0	AGO1-4,AGO2	1	0	0	1	1	1	1	4
MIMAT0000261	hsa-miR-183-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442563	6442568	6442563	6442568	+	14	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000261	hsa-miR-183-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442962	6442967	6442962	6442967	+	15	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000263	hsa-miR-199b-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443444	6443449	6443444	6443449	+	26	0	AGO1,AGO1-4,AGO2,AGO3	1	0	0	0	0	0	0	2
MIMAT0000273	hsa-miR-216a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442699	6442704	6442677	6442705	+	16	0	AGO1,AGO1-4,AGO2	1	0	1	1	0	0	0	5
MIMAT0000273	hsa-miR-216a-5p	ENSG00000136238	RAC1	protein_coding	chr7	6442817	6442822	6442795	6442823	+	24	0	AGO1,AGO1-4,AGO2,AGO3	1	0	1	1	0	0	0	5
MIMAT0000274	hsa-miR-217	ENSG00000136238	RAC1	protein_coding	chr7	6442483	6442488	6442461	6442489	+	5	0	AGO1-4	1	0	1	1	0	0	0	5
MIMAT0000274	hsa-miR-217	ENSG00000136238	RAC1	protein_coding	chr7	6442889	6442895	6442868	6442896	+	10	0	AGO1-4,AGO2	1	0	1	1	1	0	0	5
MIMAT0000280	hsa-miR-223-3p	ENSG00000136238	RAC1	protein_coding	chr7	6443316	6443321	6443316	6443321	+	29	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0000281	hsa-miR-224-5p	ENSG00000136238	RAC1	protein_coding	chr7	6443574	6443579	6443560	6443580	+	20	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	2
MIMAT0000318	hsa-miR-200b-3p	ENSG00000136238	RAC1	protein_coding	chr7	6442792	6442798	6442778	6442799	+	16	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	1	3
