#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000073	hsa-miR-19a-3p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32917303	32917331	32917303	32917331	+	7	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	1
MIMAT0000073	hsa-miR-19a-3p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32931004	32931010	32930983	32931011	+	13	0	AGO1-4,AGO2,AGO3	1	0	0	1	1	0	1	1
MIMAT0000074	hsa-miR-19b-3p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32917303	32917331	32917303	32917331	+	7	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	2
MIMAT0000074	hsa-miR-19b-3p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32931004	32931010	32930983	32931011	+	13	0	AGO1-4,AGO2,AGO3	1	0	0	1	1	0	1	2
MIMAT0000087	hsa-miR-30a-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32930595	32930601	32930582	32930602	+	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	18
MIMAT0000089	hsa-miR-31-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32930785	32930790	32930771	32930791	+	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	4
MIMAT0000244	hsa-miR-30c-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32930595	32930601	32930580	32930602	+	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	14
MIMAT0000245	hsa-miR-30d-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32930595	32930601	32930581	32930602	+	8	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	10
MIMAT0000259	hsa-miR-182-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32921900	32921928	32921900	32921928	+	1	0	AGO1-4	0	0	0	1	0	0	0	1
MIMAT0000259	hsa-miR-182-5p	ENSG00000198826	ARHGAP11A	protein_coding	chr15	32929072	32929100	32929072	32929100	+	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1
