#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000082	hsa-miR-26a-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980719	120980740	120980719	120980740	-	13	0	AGO1,AGO1-4,AGO2	0	0	0	0	1	0	0	17
MIMAT0000083	hsa-miR-26b-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980719	120980739	120980719	120980739	-	13	0	AGO1,AGO1-4,AGO2	0	0	0	0	1	0	0	12
MIMAT0000084	hsa-miR-27a-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980677	120980682	120980677	120980682	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000085	hsa-miR-28-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980796	120980802	120980795	120980823	-	10	0	AGO1,AGO1-4,AGO2	1	0	1	1	1	0	0	4
MIMAT0000099	hsa-miR-101-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980691	120980697	120980690	120980708	-	11	0	AGO1-4,AGO2	1	0	1	0	1	0	0	17
MIMAT0000269	hsa-miR-212-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980690	120980695	120980690	120980695	-	10	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0000276	hsa-miR-219a-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120981320	120981340	120981320	120981340	-	7	0	AGO1,AGO1-4,AGO2	0	0	0	0	1	0	0	4
MIMAT0000281	hsa-miR-224-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980737	120980742	120980736	120980756	-	10	0	AGO1,AGO1-4,AGO2	1	0	1	0	1	0	0	2
MIMAT0000419	hsa-miR-27b-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980677	120980682	120980677	120980682	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	9
MIMAT0000426	hsa-miR-132-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980690	120980695	120980690	120980695	-	10	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0000436	hsa-miR-144-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980691	120980698	120980690	120980708	-	11	0	AGO1-4,AGO2	1	0	0	0	1	0	0	1
MIMAT0000729	hsa-miR-376a-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980712	120980717	120980711	120980731	-	14	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	2
MIMAT0000755	hsa-miR-323a-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980684	120980689	120980684	120980689	-	10	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000755	hsa-miR-323a-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120981250	120981255	120981250	120981255	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000757	hsa-miR-151a-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980872	120980877	120980872	120980877	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0002172	hsa-miR-376b-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980712	120980717	120980711	120980732	-	14	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	6
MIMAT0002817	hsa-miR-495-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980594	120980600	120980593	120980621	-	2	0	AGO1-4	1	0	0	1	1	0	0	5
MIMAT0002817	hsa-miR-495-3p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980853	120980858	120980852	120980880	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	5
MIMAT0002824	hsa-miR-498	ENSG00000164109	MAD2L1	protein_coding	chr4	120980719	120980724	120980719	120980724	-	13	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0002849	hsa-miR-524-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980695	120980700	120980695	120980700	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0002855	hsa-miR-520d-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980695	120980700	120980695	120980700	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0002877	hsa-miR-513a-5p	ENSG00000164109	MAD2L1	protein_coding	chr4	120980677	120980682	120980677	120980682	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
