#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000068	hsa-miR-15a-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625903	12625905	12625899	12625930	-	11	0	AGO1-4,AGO2	2	0	2	2	1	1	1	4
MIMAT0000069	hsa-miR-16-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625903	12625905	12625899	12625930	-	11	0	AGO1-4,AGO2	2	0	2	2	1	1	1	3
MIMAT0000073	hsa-miR-19a-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625172	12625177	12625171	12625192	-	10	0	AGO1-4,AGO2	1	0	1	0	1	0	0	1
MIMAT0000073	hsa-miR-19a-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625546	12625552	12625545	12625568	-	16	0	AGO1,AGO1-4,AGO2	1	0	1	0	1	1	1	1
MIMAT0000073	hsa-miR-19a-3p	ENSG00000132155	RAF1	protein_coding	chr3	12626000	12626012	12626000	12626012	-	4	0	AGO1-4,AGO2	0	0	0	0	1	0	0	1
MIMAT0000074	hsa-miR-19b-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625172	12625177	12625171	12625192	-	10	0	AGO1-4,AGO2	1	0	1	0	1	0	0	1
MIMAT0000074	hsa-miR-19b-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625546	12625552	12625545	12625567	-	16	0	AGO1,AGO1-4,AGO2	1	0	1	0	1	1	1	1
MIMAT0000074	hsa-miR-19b-3p	ENSG00000132155	RAF1	protein_coding	chr3	12626000	12626012	12626000	12626012	-	4	0	AGO1-4,AGO2	0	0	0	0	1	0	0	1
MIMAT0000091	hsa-miR-33a-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625599	12625604	12625599	12625604	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000101	hsa-miR-103a-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625901	12625906	12625900	12625928	-	11	0	AGO1-4,AGO2	1	0	0	1	0	0	0	4
MIMAT0000101	hsa-miR-103a-3p	ENSG00000132155	RAF1	protein_coding	chr3	12650798	12650826	12650798	12650826	-	1	0	AGO1-4	0	0	0	1	0	0	0	4
MIMAT0000104	hsa-miR-107	ENSG00000132155	RAF1	protein_coding	chr3	12625901	12625906	12625900	12625928	-	11	0	AGO1-4,AGO2	1	0	0	1	0	0	0	4
MIMAT0000104	hsa-miR-107	ENSG00000132155	RAF1	protein_coding	chr3	12650798	12650826	12650798	12650826	-	1	0	AGO1-4	0	0	0	1	0	0	0	4
MIMAT0000242	hsa-miR-129-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625718	12625723	12625718	12625723	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000250	hsa-miR-139-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625751	12625756	12625751	12625756	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000250	hsa-miR-139-5p	ENSG00000132155	RAF1	protein_coding	chr3	12650315	12650343	12650315	12650343	-	2	0	AGO1-4	0	0	0	1	0	0	0	4
MIMAT0000252	hsa-miR-7-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625333	12625339	12625332	12625352	-	21	0	AGO1-4,AGO2	1	0	1	0	1	1	1	7
MIMAT0000252	hsa-miR-7-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625355	12625361	12625354	12625376	-	9	0	AGO1-4,AGO2	1	0	1	0	1	0	0	7
MIMAT0000255	hsa-miR-34a-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625518	12625523	12625518	12625523	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	9
MIMAT0000262	hsa-miR-187-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625457	12625462	12625457	12625462	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000271	hsa-miR-214-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625902	12625907	12625902	12625907	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	14
MIMAT0000417	hsa-miR-15b-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625903	12625905	12625899	12625930	-	11	0	AGO1-4,AGO2	2	0	2	2	1	1	1	1
MIMAT0000423	hsa-miR-125b-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625366	12625372	12625365	12625387	-	12	0	AGO1-4,AGO2	1	0	0	0	1	0	1	8
MIMAT0000423	hsa-miR-125b-5p	ENSG00000132155	RAF1	protein_coding	chr3	12632302	12632330	12632302	12632330	-	5	1	AGO1-4	0	0	0	1	0	0	0	8
MIMAT0000435	hsa-miR-143-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625379	12625384	12625379	12625384	-	8	0	AGO1-4,AGO2	1	0	0	0	0	0	0	10
MIMAT0000441	hsa-miR-9-5p	ENSG00000132155	RAF1	protein_coding	chr3	12626410	12626438	12626410	12626438	-	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000441	hsa-miR-9-5p	ENSG00000132155	RAF1	protein_coding	chr3	12650307	12650335	12650307	12650335	-	2	0	AGO1-4	0	0	0	1	0	0	0	3
MIMAT0000443	hsa-miR-125a-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625366	12625372	12625365	12625388	-	12	0	AGO1-4,AGO2	1	0	0	0	1	0	1	5
MIMAT0000443	hsa-miR-125a-5p	ENSG00000132155	RAF1	protein_coding	chr3	12632302	12632330	12632302	12632330	-	5	1	AGO1-4	0	0	0	1	0	0	0	5
MIMAT0000447	hsa-miR-134-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625246	12625253	12625246	12625253	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	9
MIMAT0000450	hsa-miR-149-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625222	12625227	12625221	12625244	-	7	0	AGO1-4,AGO2	1	0	0	0	1	0	0	5
MIMAT0000450	hsa-miR-149-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625965	12625970	12625965	12625970	-	4	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000456	hsa-miR-186-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625850	12625855	12625849	12625877	-	7	0	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	3
MIMAT0000456	hsa-miR-186-5p	ENSG00000132155	RAF1	protein_coding	chr3	12647744	12647772	12647744	12647772	-	5	1	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000461	hsa-miR-195-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625903	12625905	12625899	12625930	-	11	0	AGO1-4,AGO2	2	0	2	2	1	1	1	3
MIMAT0000686	hsa-miR-34c-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625518	12625523	12625518	12625523	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000690	hsa-miR-296-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625708	12625714	12625708	12625714	-	6	0	AGO1-4,AGO2	1	0	1	0	0	0	0	6
MIMAT0000690	hsa-miR-296-5p	ENSG00000132155	RAF1	protein_coding	chr3	12625833	12625838	12625833	12625838	-	2	0	AGO1-4	1	0	1	0	0	0	0	6
MIMAT0000722	hsa-miR-370-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625659	12625664	12625659	12625664	-	4	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000722	hsa-miR-370-3p	ENSG00000132155	RAF1	protein_coding	chr3	12625713	12625718	12625713	12625718	-	6	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
