#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000068	hsa-miR-15a-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	2
MIMAT0000068	hsa-miR-15a-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	2
MIMAT0000069	hsa-miR-16-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	4
MIMAT0000069	hsa-miR-16-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0000084	hsa-miR-27a-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47023640	47023645	47023639	47023667	-	9	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1
MIMAT0000101	hsa-miR-103a-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47023593	47023598	47023592	47023620	-	5	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1
MIMAT0000101	hsa-miR-103a-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47037760	47037785	47037757	47037788	-	3	0	AGO1-4,AGO2	0	0	0	2	0	0	0	1
MIMAT0000104	hsa-miR-107	ENSG00000079277	MKNK1	protein_coding	chr1	47023593	47023598	47023592	47023620	-	5	0	AGO1-4,AGO2	1	0	1	1	0	0	0	7
MIMAT0000104	hsa-miR-107	ENSG00000079277	MKNK1	protein_coding	chr1	47037760	47037785	47037757	47037788	-	3	0	AGO1-4,AGO2	0	0	0	2	0	0	0	7
MIMAT0000252	hsa-miR-7-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023682	47023688	47023681	47023705	-	6	0	AGO1-4,AGO2	1	0	0	0	1	1	1	4
MIMAT0000252	hsa-miR-7-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023840	47023845	47023840	47023845	-	1	0	AGO1-4	1	0	0	0	0	0	0	4
MIMAT0000275	hsa-miR-218-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023659	47023665	47023658	47023678	-	9	0	AGO1-4,AGO2	1	0	1	0	1	1	0	0
MIMAT0000417	hsa-miR-15b-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	3
MIMAT0000417	hsa-miR-15b-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000419	hsa-miR-27b-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47023640	47023645	47023639	47023667	-	9	0	AGO1-4,AGO2	1	0	1	1	0	0	0	3
MIMAT0000461	hsa-miR-195-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	4
MIMAT0000461	hsa-miR-195-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0000756	hsa-miR-326	ENSG00000079277	MKNK1	protein_coding	chr1	47023482	47023488	47023481	47023509	-	4	0	AGO1-4,AGO2	1	0	1	1	1	0	0	4
MIMAT0000756	hsa-miR-326	ENSG00000079277	MKNK1	protein_coding	chr1	47024370	47024375	47024369	47024397	-	1	0	AGO1-4	1	0	1	1	0	0	0	4
MIMAT0000756	hsa-miR-326	ENSG00000079277	MKNK1	protein_coding	chr1	47030724	47030752	47030724	47030752	-	2	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0000772	hsa-miR-345-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023584	47023589	47023584	47023589	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0001341	hsa-miR-424-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	5
MIMAT0001341	hsa-miR-424-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	5
MIMAT0002820	hsa-miR-497-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023598	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	1	3
MIMAT0002820	hsa-miR-497-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0002874	hsa-miR-503-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023592	47023597	47023591	47023619	-	5	0	AGO1-4,AGO2	1	0	0	1	1	0	0	1
MIMAT0002874	hsa-miR-503-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47037759	47037787	47037759	47037787	-	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1
MIMAT0002877	hsa-miR-513a-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023640	47023645	47023639	47023667	-	9	0	AGO1-4,AGO2	1	0	1	1	0	0	0	1
MIMAT0003150	hsa-miR-455-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023658	47023663	47023657	47023663	-	7	0	AGO1-4,AGO2	1	0	0	0	0	1	0	4
MIMAT0003165	hsa-miR-545-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47023594	47023599	47023594	47023599	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0003165	hsa-miR-545-3p	ENSG00000079277	MKNK1	protein_coding	chr1	47023643	47023649	47023643	47023649	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0004693	hsa-miR-330-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023482	47023488	47023481	47023509	-	4	0	AGO1-4,AGO2	1	0	1	1	1	0	0	2
MIMAT0004693	hsa-miR-330-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47024370	47024375	47024370	47024375	-	1	0	AGO1-4	1	0	1	0	0	0	0	2
MIMAT0004693	hsa-miR-330-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47030724	47030752	47030724	47030752	-	2	0	AGO1-4,AGO2	0	0	0	1	0	0	0	2
MIMAT0005788	hsa-miR-513b-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023600	47023605	47023600	47023605	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0019062	hsa-miR-4524a-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023591	47023597	47023590	47023618	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	2
MIMAT0022255	hsa-miR-4524b-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023591	47023597	47023590	47023618	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	0
MIMAT0027578	hsa-miR-6838-5p	ENSG00000079277	MKNK1	protein_coding	chr1	47023591	47023598	47023591	47023598	-	5	0	AGO1-4,AGO2	0	0	0	0	0	0	1	0
