#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000095	hsa-miR-96-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622464	65622469	65622463	65622491	-	42	2	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	4
MIMAT0000095	hsa-miR-96-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622666	65622671	65622665	65622693	-	19	10	AGO1-4,AGO2	1	0	0	1	0	1	1	4
MIMAT0000101	hsa-miR-103a-3p	ENSG00000172757	CFL1	protein_coding	chr11	65622467	65622473	65622466	65622487	-	41	2	AGO1,AGO1-4,AGO2	1	0	1	0	1	1	0	4
MIMAT0000104	hsa-miR-107	ENSG00000172757	CFL1	protein_coding	chr11	65622467	65622473	65622466	65622487	-	41	2	AGO1,AGO1-4,AGO2	1	0	1	0	1	0	0	7
MIMAT0000256	hsa-miR-181a-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622404	65622409	65622404	65622409	-	24	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000257	hsa-miR-181b-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622404	65622409	65622404	65622409	-	24	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000258	hsa-miR-181c-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622404	65622409	65622404	65622409	-	24	0	AGO1-4,AGO2	1	0	0	0	0	0	0	16
MIMAT0000259	hsa-miR-182-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622464	65622469	65622463	65622491	-	42	2	AGO1,AGO1-4,AGO2	1	0	0	1	0	0	0	4
MIMAT0000259	hsa-miR-182-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622666	65622671	65622665	65622693	-	19	10	AGO1-4,AGO2	1	0	0	1	1	1	1	4
MIMAT0000265	hsa-miR-204-5p	ENSG00000172757	CFL1	protein_coding	chr11	65622317	65622322	65622317	65622322	-	19	0	AGO1-4,AGO2	1	0	0	0	0	0	0	17
