#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000070	hsa-miR-17-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505986	46505991	46505986	46505991	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	18
MIMAT0000073	hsa-miR-19a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507318	46507324	46507317	46507345	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	14
MIMAT0000073	hsa-miR-19a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509244	46509250	46509243	46509271	-	29	0	AGO1-4,AGO2	1	0	1	1	1	1	1	14
MIMAT0000074	hsa-miR-19b-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507318	46507324	46507317	46507345	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	0	17
MIMAT0000074	hsa-miR-19b-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509244	46509250	46509243	46509271	-	29	0	AGO1-4,AGO2	1	0	1	1	1	1	1	17
MIMAT0000075	hsa-miR-20a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505986	46505991	46505986	46505991	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	16
MIMAT0000076	hsa-miR-21-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509125	46509130	46509125	46509130	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	13
MIMAT0000078	hsa-miR-23a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46506138	46506143	46506138	46506143	-	9	0	AGO1-4,AGO2	1	0	0	0	0	0	0	11
MIMAT0000078	hsa-miR-23a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509221	46509227	46509220	46509248	-	27	0	AGO1-4,AGO2	1	0	0	1	1	0	1	11
MIMAT0000081	hsa-miR-25-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505819	46505824	46505818	46505846	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	1	6
MIMAT0000081	hsa-miR-25-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505833	46505838	46505832	46505860	-	5	0	AGO1-4,AGO2	1	0	1	1	0	1	1	6
MIMAT0000081	hsa-miR-25-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505940	46505946	46505939	46505967	-	6	0	AGO1-4,AGO2	1	0	1	1	1	0	0	6
MIMAT0000081	hsa-miR-25-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508367	46508373	46508366	46508394	-	3	0	AGO1-4,AGO2	1	0	1	1	1	1	1	6
MIMAT0000086	hsa-miR-29a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508451	46508457	46508450	46508471	-	6	0	AGO1-4,AGO2	1	0	0	0	1	0	1	12
MIMAT0000087	hsa-miR-30a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46506066	46506071	46506066	46506071	-	6	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000087	hsa-miR-30a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507625	46507630	46507625	46507630	-	3	0	AGO1-4,AGO2	1	0	1	0	0	0	0	5
MIMAT0000090	hsa-miR-32-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505819	46505824	46505818	46505846	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	1	10
MIMAT0000090	hsa-miR-32-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505833	46505838	46505832	46505860	-	5	0	AGO1-4,AGO2	1	0	1	1	0	1	1	10
MIMAT0000090	hsa-miR-32-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505940	46505946	46505939	46505967	-	6	0	AGO1-4,AGO2	1	0	1	1	1	0	0	10
MIMAT0000090	hsa-miR-32-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508367	46508373	46508366	46508394	-	3	0	AGO1-4,AGO2	1	0	1	1	1	1	1	10
MIMAT0000092	hsa-miR-92a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505819	46505824	46505818	46505846	-	3	0	AGO1-4,AGO2	1	0	1	1	0	0	1	19
MIMAT0000092	hsa-miR-92a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505833	46505838	46505832	46505860	-	5	0	AGO1-4,AGO2	1	0	1	1	0	1	1	19
MIMAT0000092	hsa-miR-92a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505940	46505946	46505939	46505967	-	6	0	AGO1-4,AGO2	1	0	1	1	1	0	0	19
MIMAT0000092	hsa-miR-92a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508367	46508373	46508366	46508394	-	3	0	AGO1-4,AGO2	1	0	1	1	1	1	1	19
MIMAT0000093	hsa-miR-93-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505986	46505991	46505986	46505991	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000100	hsa-miR-29b-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508451	46508457	46508450	46508472	-	6	0	AGO1-4,AGO2	1	0	0	0	1	0	1	12
MIMAT0000102	hsa-miR-105-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507819	46507824	46507818	46507841	-	5	0	AGO1-4,AGO2	1	1	0	0	0	0	0	4
MIMAT0000103	hsa-miR-106a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46505986	46505991	46505986	46505991	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000243	hsa-miR-148a-3p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509137	46509143	46509136	46509164	-	15	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	1	1	4
MIMAT0000244	hsa-miR-30c-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46506066	46506071	46506066	46506071	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000244	hsa-miR-30c-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507625	46507630	46507625	46507630	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000245	hsa-miR-30d-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46506066	46506071	46506066	46506071	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000245	hsa-miR-30d-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46507625	46507630	46507625	46507630	-	3	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
MIMAT0000256	hsa-miR-181a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508628	46508634	46508627	46508655	-	8	0	AGO1-4,AGO2	1	0	1	1	1	0	0	5
MIMAT0000256	hsa-miR-181a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509223	46509228	46509222	46509250	-	27	0	AGO1-4,AGO2	1	0	1	1	1	1	1	5
MIMAT0000256	hsa-miR-181a-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46512255	46512283	46512255	46512283	-	2	1	AGO1-4,AGO2	0	0	0	1	0	0	0	5
MIMAT0000257	hsa-miR-181b-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46508628	46508634	46508627	46508655	-	8	0	AGO1-4,AGO2	1	0	1	1	1	0	0	6
MIMAT0000257	hsa-miR-181b-5p	ENSG00000117461	PIK3R3	protein_coding	chr1	46509223	46509229	46509222	46509250	-	27	0	AGO1-4,AGO2	1	0	1	1	1	1	1	6
