#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000073	hsa-miR-19a-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737941	122737947	122737940	122737961	-	26	0	AGO1,AGO1-4,AGO2,AGO3	0	0	0	0	1	1	1	0
MIMAT0000074	hsa-miR-19b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737941	122737947	122737940	122737961	-	26	0	AGO1,AGO1-4,AGO2,AGO3	0	0	0	0	1	1	1	0
MIMAT0000077	hsa-miR-22-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737999	122738005	122737998	122738026	-	12	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	1	1	0	0	12
MIMAT0000084	hsa-miR-27a-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737920	122737926	122737920	122737948	-	17	0	AGO1-4,AGO2	0	0	0	1	0	1	1	1
MIMAT0000084	hsa-miR-27a-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122741781	122741809	122741781	122741809	-	11	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	1
MIMAT0000086	hsa-miR-29a-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737957	122737963	122737956	122737979	-	26	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	0	1	19
MIMAT0000087	hsa-miR-30a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738466	122738471	122738466	122738471	-	5	0	AGO1-4,AGO2	0	0	1	0	0	0	0	19
MIMAT0000087	hsa-miR-30a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738475	122738480	122738475	122738480	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	19
MIMAT0000100	hsa-miR-29b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737957	122737963	122737956	122737980	-	26	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	0	1	12
MIMAT0000102	hsa-miR-105-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122737624	122737652	122737624	122737652	-	1	0	AGO2	0	0	0	1	0	0	0	3
MIMAT0000102	hsa-miR-105-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122741788	122741816	122741788	122741816	-	11	3	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000231	hsa-miR-199a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122737938	122737943	122737938	122737943	-	16	0	AGO1-4,AGO2	0	0	1	0	0	0	0	8
MIMAT0000231	hsa-miR-199a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122737973	122737978	122737972	122737994	-	23	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	0	0	8
MIMAT0000243	hsa-miR-148a-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737939	122737945	122737938	122737960	-	26	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	1	1	8
MIMAT0000244	hsa-miR-30c-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738466	122738471	122738466	122738471	-	5	0	AGO1-4,AGO2	0	0	1	0	0	0	0	15
MIMAT0000244	hsa-miR-30c-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738475	122738480	122738475	122738480	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	15
MIMAT0000245	hsa-miR-30d-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738466	122738471	122738466	122738471	-	5	0	AGO1-4,AGO2	0	0	1	0	0	0	0	13
MIMAT0000245	hsa-miR-30d-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738475	122738480	122738475	122738480	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	13
MIMAT0000255	hsa-miR-34a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738777	122738792	122738777	122738792	-	7	0	AGO1,AGO1-4,AGO2	0	0	0	0	1	0	0	13
MIMAT0000263	hsa-miR-199b-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122737938	122737943	122737938	122737943	-	16	0	AGO1-4,AGO2	0	0	1	0	0	0	0	6
MIMAT0000263	hsa-miR-199b-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122737973	122737978	122737972	122737994	-	23	0	AGO1,AGO1-4,AGO2,AGO3	0	0	1	0	1	0	0	6
MIMAT0000276	hsa-miR-219a-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738705	122738710	122738704	122738724	-	5	0	AGO1-4,AGO2	1	0	0	0	1	1	1	2
MIMAT0000318	hsa-miR-200b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122738316	122738339	122738316	122738344	-	4	0	AGO1,AGO1-4,AGO2	0	0	0	1	1	0	0	5
MIMAT0000318	hsa-miR-200b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122738568	122738573	122738567	122738595	-	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	5
MIMAT0000419	hsa-miR-27b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122737920	122737926	122737920	122737948	-	17	0	AGO1-4,AGO2	0	0	0	1	0	1	1	8
MIMAT0000419	hsa-miR-27b-3p	ENSG00000145386	CCNA2	protein_coding	chr4	122741781	122741809	122741781	122741809	-	11	0	AGO1,AGO1-4,AGO2	0	0	0	1	0	0	0	8
MIMAT0000420	hsa-miR-30b-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738466	122738471	122738466	122738471	-	5	0	AGO1-4,AGO2	0	0	1	0	0	0	0	12
MIMAT0000420	hsa-miR-30b-5p	ENSG00000145386	CCNA2	protein_coding	chr4	122738475	122738480	122738475	122738480	-	4	0	AGO1-4,AGO2	0	0	1	0	0	0	0	12
