#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000086	hsa-miR-29a-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845813	64845818	64845813	64845818	-	1	0	AGO2	1	0	0	0	0	0	0	15
MIMAT0000086	hsa-miR-29a-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846457	64846463	64846457	64846463	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	15
MIMAT0000100	hsa-miR-29b-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845813	64845818	64845813	64845818	-	1	0	AGO2	1	0	0	0	0	0	0	12
MIMAT0000100	hsa-miR-29b-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846457	64846463	64846457	64846463	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	12
MIMAT0000101	hsa-miR-103a-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846455	64846460	64846455	64846460	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0000104	hsa-miR-107	ENSG00000146670	CDCA5	protein_coding	chr11	64846455	64846460	64846455	64846460	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000422	hsa-miR-124-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846143	64846148	64846143	64846148	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000422	hsa-miR-124-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846435	64846440	64846435	64846440	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0000455	hsa-miR-185-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64845405	64845410	64845405	64845410	-	2	0	AGO2	1	0	0	0	0	0	0	1
MIMAT0000455	hsa-miR-185-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846158	64846163	64846158	64846163	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000455	hsa-miR-185-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846545	64846550	64846545	64846550	-	7	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000460	hsa-miR-194-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846476	64846481	64846476	64846481	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000681	hsa-miR-29c-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845813	64845818	64845813	64845818	-	1	0	AGO2	1	0	0	0	0	0	0	26
MIMAT0000681	hsa-miR-29c-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846457	64846463	64846457	64846463	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	26
MIMAT0000762	hsa-miR-324-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846420	64846425	64846420	64846425	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	3
MIMAT0000763	hsa-miR-338-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845161	64845166	64845161	64845166	-	1	0	AGO1-4	1	0	0	0	0	0	0	7
MIMAT0000763	hsa-miR-338-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846461	64846466	64846461	64846466	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	7
MIMAT0001629	hsa-miR-329-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845936	64845941	64845936	64845941	-	1	0	AGO1	1	0	0	0	0	0	0	4
MIMAT0001629	hsa-miR-329-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846468	64846471	64846466	64846473	-	6	0	AGO1-4,AGO2	2	0	0	0	0	0	0	4
MIMAT0002826	hsa-miR-515-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64845483	64845488	64845483	64845488	-	3	0	AGO1,AGO1-4	1	0	0	0	0	0	0	2
MIMAT0002826	hsa-miR-515-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846510	64846515	64846510	64846515	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0002828	hsa-miR-519e-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64845482	64845510	64845482	64845510	-	3	3	AGO1,AGO1-4	0	0	0	1	0	0	0	1
MIMAT0002828	hsa-miR-519e-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846509	64846537	64846509	64846537	-	11	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1
MIMAT0002878	hsa-miR-506-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846143	64846148	64846143	64846148	-	2	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0002878	hsa-miR-506-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846435	64846440	64846435	64846440	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0003215	hsa-miR-552-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846111	64846117	64846111	64846117	-	1	0	AGO1-4	1	0	0	0	0	0	0	5
MIMAT0003215	hsa-miR-552-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846472	64846479	64846472	64846479	-	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	5
MIMAT0003255	hsa-miR-588	ENSG00000146670	CDCA5	protein_coding	chr11	64845388	64845393	64845388	64845393	-	2	0	AGO2	1	0	0	0	0	0	0	0
MIMAT0003255	hsa-miR-588	ENSG00000146670	CDCA5	protein_coding	chr11	64845822	64845829	64845822	64845829	-	1	0	AGO2	1	0	0	0	0	0	0	0
MIMAT0003255	hsa-miR-588	ENSG00000146670	CDCA5	protein_coding	chr11	64846553	64846558	64846553	64846558	-	4	0	AGO1-4	1	0	0	0	0	0	0	0
MIMAT0003329	hsa-miR-411-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64845668	64845674	64845667	64845689	-	5	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	6
MIMAT0004605	hsa-miR-129-2-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846248	64846254	64846248	64846254	-	1	0	AGO1-4	1	0	0	0	0	0	0	7
MIMAT0004605	hsa-miR-129-2-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846427	64846434	64846427	64846434	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	7
MIMAT0004683	hsa-miR-362-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64845936	64845941	64845936	64845941	-	1	0	AGO1	1	0	0	0	0	0	0	4
MIMAT0004683	hsa-miR-362-3p	ENSG00000146670	CDCA5	protein_coding	chr11	64846468	64846471	64846466	64846473	-	6	0	AGO1-4,AGO2	2	0	0	0	0	0	0	4
MIMAT0004693	hsa-miR-330-5p	ENSG00000146670	CDCA5	protein_coding	chr11	64846054	64846060	64846053	64846081	-	4	0	AGO1-4,AGO2	1	0	1	1	1	0	0	2
