#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000086	hsa-miR-29a-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846664	120846669	120846664	120846669	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	19
MIMAT0000087	hsa-miR-30a-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846638	120846643	120846637	120846665	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	20
MIMAT0000100	hsa-miR-29b-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846664	120846669	120846664	120846669	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	17
MIMAT0000244	hsa-miR-30c-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846638	120846643	120846637	120846665	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	15
MIMAT0000245	hsa-miR-30d-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846638	120846643	120846637	120846665	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	9
MIMAT0000278	hsa-miR-221-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846958	120846964	120846957	120846979	-	5	0	AGO1-4,AGO2	1	0	1	0	1	0	0	9
MIMAT0000279	hsa-miR-222-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846958	120846964	120846957	120846977	-	5	0	AGO1-4,AGO2	1	0	1	0	1	0	0	8
MIMAT0000420	hsa-miR-30b-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846638	120846643	120846637	120846665	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	10
MIMAT0000442	hsa-miR-9-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846954	120846960	120846953	120846981	-	5	0	AGO1-4,AGO2	0	0	1	1	0	0	0	0
MIMAT0000442	hsa-miR-9-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120847094	120847099	120847093	120847121	-	3	0	AGO1-4	0	0	1	1	0	0	0	0
MIMAT0000510	hsa-miR-320a	ENSG00000136982	DSCC1	protein_coding	chr8	120846955	120846960	120846954	120846982	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	4
MIMAT0000681	hsa-miR-29c-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846664	120846669	120846664	120846669	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	26
MIMAT0000692	hsa-miR-30e-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846638	120846643	120846637	120846665	-	5	0	AGO1-4,AGO2	1	0	1	1	1	0	0	10
MIMAT0000735	hsa-miR-380-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846636	120846641	120846636	120846641	-	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0002171	hsa-miR-410-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846649	120846654	120846648	120846676	-	5	0	AGO1-4,AGO2	1	0	1	1	0	0	0	4
MIMAT0002171	hsa-miR-410-3p	ENSG00000136982	DSCC1	protein_coding	chr8	120846849	120846854	120846848	120846876	-	1	0	AGO2	1	0	1	1	1	0	0	4
MIMAT0004692	hsa-miR-340-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846564	120846569	120846563	120846591	-	2	0	AGO1-4	1	0	0	1	0	0	0	3
MIMAT0004692	hsa-miR-340-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846650	120846655	120846649	120846677	-	5	0	AGO1-4,AGO2	1	0	0	1	0	0	0	3
MIMAT0004692	hsa-miR-340-5p	ENSG00000136982	DSCC1	protein_coding	chr8	120846850	120846855	120846849	120846877	-	1	0	AGO2	1	0	0	1	0	0	0	3
