#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000082	hsa-miR-26a-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389021	30389027	30389001	30389028	+	9	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	18
MIMAT0000083	hsa-miR-26b-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389021	30389027	30389008	30389028	+	7	0	AGO1-4,AGO2	1	0	0	0	1	0	0	11
MIMAT0000256	hsa-miR-181a-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389099	30389105	30389084	30389106	+	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	5
MIMAT0000257	hsa-miR-181b-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389098	30389105	30389084	30389106	+	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	3
MIMAT0000258	hsa-miR-181c-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389099	30389105	30389085	30389106	+	11	0	AGO1,AGO1-4,AGO2	1	0	0	0	1	0	0	13
MIMAT0000275	hsa-miR-218-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389197	30389202	30389197	30389202	+	13	0	AGO1-4,AGO2	1	0	0	0	0	0	0	9
MIMAT0000276	hsa-miR-219a-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389329	30389334	30389329	30389334	+	5	1	AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000424	hsa-miR-128-3p	ENSG00000088325	TPX2	protein_coding	chr20	30389030	30389035	30389030	30389035	+	6	0	AGO1-4,AGO2	1	0	0	0	0	0	0	2
MIMAT0000452	hsa-miR-154-5p	ENSG00000088325	TPX2	protein_coding	chr20	30388930	30388935	30388930	30388935	+	9	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	4
MIMAT0000705	hsa-miR-362-5p	ENSG00000088325	TPX2	protein_coding	chr20	30389383	30389388	30389383	30389388	+	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	6
