#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000084	hsa-miR-27a-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110824158	110824164	110824137	110824165	+	4	0	AGO1,AGO2	0	0	1	1	0	0	1	8
MIMAT0000084	hsa-miR-27a-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110830002	110830007	110829980	110830008	+	1	1	AGO1-4	0	0	1	1	0	0	1	8
MIMAT0000087	hsa-miR-30a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820635	110820641	110820614	110820642	+	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	8
MIMAT0000091	hsa-miR-33a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820315	110820321	110820294	110820322	+	5	0	AGO1,AGO2	1	0	1	1	1	0	1	15
MIMAT0000091	hsa-miR-33a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110821378	110821384	110821357	110821385	+	1	0	AGO2	0	0	1	1	0	0	0	15
MIMAT0000242	hsa-miR-129-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820275	110820281	110820254	110820282	+	4	0	AGO1,AGO2	1	0	1	1	1	1	1	1
MIMAT0000242	hsa-miR-129-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820663	110820684	110820656	110820684	+	1	0	AGO1-4	0	0	0	1	1	0	0	1
MIMAT0000244	hsa-miR-30c-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820635	110820641	110820614	110820642	+	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	11
MIMAT0000245	hsa-miR-30d-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820635	110820641	110820614	110820642	+	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	11
MIMAT0000269	hsa-miR-212-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110820633	110820638	110820633	110820638	+	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	1
MIMAT0000281	hsa-miR-224-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110824161	110824167	110824140	110824168	+	4	0	AGO1,AGO2	0	0	1	1	0	0	0	9
MIMAT0000281	hsa-miR-224-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110827579	110827607	110827579	110827607	+	1	0	AGO2	0	0	0	1	0	0	0	9
MIMAT0000419	hsa-miR-27b-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110824158	110824164	110824137	110824165	+	4	0	AGO1,AGO2	0	0	1	1	0	0	1	6
MIMAT0000419	hsa-miR-27b-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110830002	110830007	110829980	110830008	+	1	1	AGO1-4	0	0	1	1	0	0	1	6
MIMAT0000420	hsa-miR-30b-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820635	110820641	110820614	110820642	+	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	12
MIMAT0000426	hsa-miR-132-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110820633	110820638	110820633	110820638	+	5	0	AGO1-4,AGO2	1	0	0	0	0	0	0	0
MIMAT0000429	hsa-miR-137	ENSG00000152495	CAMK4	protein_coding	chr5	110827984	110828012	110827984	110828012	+	5	0	AGO2	0	0	0	1	0	0	0	1
MIMAT0000692	hsa-miR-30e-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820635	110820641	110820614	110820642	+	5	0	AGO1-4,AGO2	1	0	0	1	1	0	1	10
MIMAT0000721	hsa-miR-369-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110827999	110828016	110827988	110828027	+	5	0	AGO2	0	0	0	2	0	0	0	1
MIMAT0000727	hsa-miR-374a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110827567	110827595	110827567	110827595	+	1	0	AGO2	0	0	0	1	0	0	0	3
MIMAT0000727	hsa-miR-374a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110827961	110827989	110827961	110827989	+	5	0	AGO2	0	0	0	1	0	0	0	3
MIMAT0002877	hsa-miR-513a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110824159	110824164	110824137	110824165	+	4	0	AGO1,AGO2	0	0	1	1	0	0	0	3
MIMAT0002877	hsa-miR-513a-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110830002	110830007	110829980	110830008	+	1	1	AGO1-4	0	0	1	1	0	0	0	3
MIMAT0003301	hsa-miR-33b-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820315	110820321	110820294	110820322	+	5	0	AGO1,AGO2	1	0	1	1	1	0	1	13
MIMAT0003301	hsa-miR-33b-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110821378	110821384	110821357	110821385	+	1	0	AGO2	0	0	1	1	0	0	0	13
MIMAT0003332	hsa-miR-656-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110827996	110828002	110827975	110828013	+	5	0	AGO2	0	0	1	2	0	0	0	1
MIMAT0004909	hsa-miR-450b-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820274	110820279	110820252	110820280	+	4	0	AGO1,AGO2	1	0	1	1	0	1	0	3
MIMAT0004909	hsa-miR-450b-5p	ENSG00000152495	CAMK4	protein_coding	chr5	110820654	110820682	110820654	110820682	+	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0004921	hsa-miR-889-3p	ENSG00000152495	CAMK4	protein_coding	chr5	110820772	110820800	110820772	110820800	+	1	0	AGO2	0	0	0	1	0	0	0	1
