#please cite:
#Zhou KR, Liu S, Cai L, et al. ENCORI: The Encyclopedia of RNA Interactomes.
#2.Li JH, et al.starBase v2.0: decoding miRNA-ceRNA, miRNA-ncRNA and protein-RNA interaction networks from large-scale CLIP-Seq data , Nucleic Acids Res. 2014 Jan;42:D92-7.
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	pancancerNum
MIMAT0000082	hsa-miR-26a-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39550292	39550320	39550292	39550320	+	1	0	AGO1-4	0	0	0	1	0	0	0	3
MIMAT0000082	hsa-miR-26a-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39607450	39607478	39607450	39607478	+	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000082	hsa-miR-26a-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39630392	39630415	39630392	39630415	+	1	0	AGO1-4	0	0	0	0	1	0	0	3
MIMAT0000083	hsa-miR-26b-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39550292	39550320	39550292	39550320	+	1	0	AGO1-4	0	0	0	1	0	0	0	7
MIMAT0000083	hsa-miR-26b-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39607450	39607478	39607450	39607478	+	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	7
MIMAT0000083	hsa-miR-26b-5p	ENSG00000078142	PIK3C3	protein_coding	chr18	39630393	39630415	39630393	39630415	+	1	0	AGO1-4	0	0	0	0	1	0	0	7
MIMAT0000084	hsa-miR-27a-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39584437	39584465	39584437	39584465	+	5	0	AGO1-4,AGO2	0	0	0	1	0	0	0	9
MIMAT0000419	hsa-miR-27b-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39584437	39584465	39584437	39584465	+	5	0	AGO1-4,AGO2	0	0	0	1	0	0	0	3
MIMAT0000735	hsa-miR-380-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39647377	39647405	39647377	39647405	+	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	2
MIMAT0000735	hsa-miR-380-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39661608	39661636	39661608	39661636	+	1	0	AGO2	0	0	0	1	0	0	0	2
MIMAT0000735	hsa-miR-380-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39662145	39662150	39662123	39662151	+	1	0	AGO1-4	0	0	1	1	0	0	0	2
MIMAT0000735	hsa-miR-380-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39663617	39663623	39663596	39663624	+	1	0	AGO1-4	0	0	1	1	0	0	0	2
MIMAT0002883	hsa-miR-514a-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39593502	39593530	39593502	39593530	+	10	0	AGO1-4,AGO2	0	0	0	1	0	0	0	4
MIMAT0005886	hsa-miR-1297	ENSG00000078142	PIK3C3	protein_coding	chr18	39550292	39550320	39550292	39550320	+	1	0	AGO1-4	0	0	0	1	0	0	0	0
MIMAT0005886	hsa-miR-1297	ENSG00000078142	PIK3C3	protein_coding	chr18	39607450	39607478	39607450	39607478	+	4	0	AGO1-4,AGO2	0	0	0	1	0	0	0	0
MIMAT0005886	hsa-miR-1297	ENSG00000078142	PIK3C3	protein_coding	chr18	39630400	39630415	39630400	39630415	+	1	0	AGO1-4	0	0	0	0	1	0	0	0
MIMAT0005930	hsa-miR-1276	ENSG00000078142	PIK3C3	protein_coding	chr18	39542559	39542587	39542559	39542587	+	1	0	AGO1-4	0	0	0	1	0	0	0	1
MIMAT0005930	hsa-miR-1276	ENSG00000078142	PIK3C3	protein_coding	chr18	39551391	39551397	39551391	39551397	+	1	0	AGO2	0	0	1	0	0	0	0	1
MIMAT0005930	hsa-miR-1276	ENSG00000078142	PIK3C3	protein_coding	chr18	39647412	39647440	39647412	39647440	+	3	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1
MIMAT0015088	hsa-miR-514b-3p	ENSG00000078142	PIK3C3	protein_coding	chr18	39593502	39593530	39593502	39593530	+	10	0	AGO1-4,AGO2	0	0	0	1	0	0	0	1
